filename,category,source_recording,duration_seconds,sample_rate,filepath
101_1b1_Al_sc_Meditron_cycle001_0.54s.wav,normal,101_1b1_Al_sc_Meditron,0.543,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle001_0.54s.wav
101_1b1_Al_sc_Meditron_cycle002_1.87s.wav,normal,101_1b1_Al_sc_Meditron,1.871,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle002_1.87s.wav
101_1b1_Al_sc_Meditron_cycle003_1.44s.wav,normal,101_1b1_Al_sc_Meditron,1.443,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle003_1.44s.wav
101_1b1_Al_sc_Meditron_cycle004_1.90s.wav,normal,101_1b1_Al_sc_Meditron,1.9,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle004_1.90s.wav
101_1b1_Al_sc_Meditron_cycle005_1.73s.wav,normal,101_1b1_Al_sc_Meditron,1.728,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle005_1.73s.wav
101_1b1_Al_sc_Meditron_cycle006_1.76s.wav,normal,101_1b1_Al_sc_Meditron,1.758,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle006_1.76s.wav
101_1b1_Al_sc_Meditron_cycle007_1.87s.wav,normal,101_1b1_Al_sc_Meditron,1.871,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle007_1.87s.wav
101_1b1_Al_sc_Meditron_cycle008_1.89s.wav,normal,101_1b1_Al_sc_Meditron,1.886,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle008_1.89s.wav
101_1b1_Al_sc_Meditron_cycle009_1.69s.wav,normal,101_1b1_Al_sc_Meditron,1.685,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle009_1.69s.wav
101_1b1_Al_sc_Meditron_cycle010_1.99s.wav,normal,101_1b1_Al_sc_Meditron,1.986,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle010_1.99s.wav
101_1b1_Al_sc_Meditron_cycle011_1.80s.wav,normal,101_1b1_Al_sc_Meditron,1.8,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle011_1.80s.wav
101_1b1_Al_sc_Meditron_cycle012_1.46s.wav,normal,101_1b1_Al_sc_Meditron,1.457,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Al_sc_Meditron_cycle012_1.46s.wav
101_1b1_Pr_sc_Meditron_cycle001_1.23s.wav,normal,101_1b1_Pr_sc_Meditron,1.228,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle001_1.23s.wav
101_1b1_Pr_sc_Meditron_cycle002_2.16s.wav,normal,101_1b1_Pr_sc_Meditron,2.158,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle002_2.16s.wav
101_1b1_Pr_sc_Meditron_cycle003_2.13s.wav,normal,101_1b1_Pr_sc_Meditron,2.128,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle003_2.13s.wav
101_1b1_Pr_sc_Meditron_cycle004_1.89s.wav,normal,101_1b1_Pr_sc_Meditron,1.886,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle004_1.89s.wav
101_1b1_Pr_sc_Meditron_cycle005_1.79s.wav,normal,101_1b1_Pr_sc_Meditron,1.785,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle005_1.79s.wav
101_1b1_Pr_sc_Meditron_cycle006_2.04s.wav,normal,101_1b1_Pr_sc_Meditron,2.043,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle006_2.04s.wav
101_1b1_Pr_sc_Meditron_cycle007_2.00s.wav,normal,101_1b1_Pr_sc_Meditron,2.0,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle007_2.00s.wav
101_1b1_Pr_sc_Meditron_cycle008_1.92s.wav,normal,101_1b1_Pr_sc_Meditron,1.915,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle008_1.92s.wav
101_1b1_Pr_sc_Meditron_cycle009_2.03s.wav,normal,101_1b1_Pr_sc_Meditron,2.028,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle009_2.03s.wav
101_1b1_Pr_sc_Meditron_cycle010_1.97s.wav,normal,101_1b1_Pr_sc_Meditron,1.9719,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle010_1.97s.wav
101_1b1_Pr_sc_Meditron_cycle011_0.76s.wav,normal,101_1b1_Pr_sc_Meditron,0.7571,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\101_1b1_Pr_sc_Meditron_cycle011_0.76s.wav
102_1b1_Ar_sc_Meditron_cycle001_1.47s.wav,normal,102_1b1_Ar_sc_Meditron,1.472,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\102_1b1_Ar_sc_Meditron_cycle001_1.47s.wav
102_1b1_Ar_sc_Meditron_cycle002_1.56s.wav,normal,102_1b1_Ar_sc_Meditron,1.557,10000,e:\Shepherd\Spring2025\CIS487\personal_branch\Sentiment-Analysis-WLB\DigitalAuscultationAnalysis\data\categorized_cycles\normal\102_1b1_Ar_sc_Meditron_cycle002_1.56s.wav
